Time_Index,CT_NG,ME_NG,MA_NG,None
57,5.45,5.45,5.28,0.0
58,5.45,5.45,5.28,0.0
59,5.45,5.45,5.28,0.0
60,5.45,5.45,5.28,0.0
61,5.45,5.45,5.28,0.0
62,5.45,5.45,5.28,0.0
63,5.45,5.45,5.28,0.0
64,5.45,5.45,5.28,0.0
65,5.45,5.45,5.28,0.0
66,5.45,5.45,5.28,0.0
67,5.45,5.45,5.28,0.0
68,5.45,5.45,5.28,0.0
69,5.45,5.45,5.28,0.0
70,5.45,5.45,5.28,0.0
71,5.45,5.45,5.28,0.0
72,5.45,5.45,5.28,0.0
73,5.45,5.45,5.28,0.0
74,5.45,5.45,5.28,0.0
75,5.45,5.45,5.28,0.0
76,5.45,5.45,5.28,0.0
77,5.45,5.45,5.28,0.0
78,5.45,5.45,5.28,0.0
79,5.45,5.45,5.28,0.0
80,5.45,5.45,5.28,0.0
81,5.45,5.45,5.28,0.0
82,5.45,5.45,5.28,0.0
83,5.45,5.45,5.28,0.0
84,5.45,5.45,5.28,0.0
85,5.45,5.45,5.28,0.0
86,5.45,5.45,5.28,0.0
87,5.45,5.45,5.28,0.0
88,5.45,5.45,5.28,0.0
89,5.45,5.45,5.28,0.0
90,5.45,5.45,5.28,0.0
91,5.45,5.45,5.28,0.0
92,5.45,5.45,5.28,0.0
93,5.45,5.45,5.28,0.0
94,5.45,5.45,5.28,0.0
95,5.45,5.45,5.28,0.0
96,5.45,5.45,5.28,0.0
97,5.45,5.45,5.28,0.0
98,5.45,5.45,5.28,0.0
99,5.45,5.45,5.28,0.0
100,5.45,5.45,5.28,0.0
101,5.45,5.45,5.28,0.0
102,5.45,5.45,5.28,0.0
103,5.45,5.45,5.28,0.0
104,5.45,5.45,5.28,0.0
105,5.45,5.45,5.28,0.0
106,5.45,5.45,5.28,0.0
107,5.45,5.45,5.28,0.0
108,5.45,5.45,5.28,0.0
109,5.45,5.45,5.28,0.0
110,5.45,5.45,5.28,0.0
111,5.45,5.45,5.28,0.0
112,5.45,5.45,5.28,0.0
113,5.45,5.45,5.28,0.0
114,5.45,5.45,5.28,0.0
115,5.45,5.45,5.28,0.0
116,5.45,5.45,5.28,0.0
117,5.45,5.45,5.28,0.0
118,5.45,5.45,5.28,0.0
119,5.45,5.45,5.28,0.0
120,5.45,5.45,5.28,0.0
121,5.45,5.45,5.28,0.0
122,5.45,5.45,5.28,0.0
123,5.45,5.45,5.28,0.0
124,5.45,5.45,5.28,0.0
125,5.45,5.45,5.28,0.0
126,5.45,5.45,5.28,0.0
127,5.45,5.45,5.28,0.0
128,5.45,5.45,5.28,0.0
129,5.45,5.45,5.28,0.0
130,5.45,5.45,5.28,0.0
131,5.45,5.45,5.28,0.0
132,5.45,5.45,5.28,0.0
133,5.45,5.45,5.28,0.0
134,5.45,5.45,5.28,0.0
135,5.45,5.45,5.28,0.0
136,5.45,5.45,5.28,0.0
137,5.45,5.45,5.28,0.0
138,5.45,5.45,5.28,0.0
139,5.45,5.45,5.28,0.0
140,5.45,5.45,5.28,0.0
141,5.45,5.45,5.28,0.0
142,5.45,5.45,5.28,0.0
143,5.45,5.45,5.28,0.0
144,5.45,5.45,5.28,0.0
145,5.45,5.45,5.28,0.0
146,5.45,5.45,5.28,0.0
147,5.45,5.45,5.28,0.0
148,5.45,5.45,5.28,0.0
149,5.45,5.45,5.28,0.0
150,5.45,5.45,5.28,0.0
151,5.45,5.45,5.28,0.0
152,5.45,5.45,5.28,0.0
153,5.45,5.45,5.28,0.0
154,5.45,5.45,5.28,0.0
155,5.45,5.45,5.28,0.0
156,5.45,5.45,5.28,0.0
157,5.45,5.45,5.28,0.0
158,5.45,5.45,5.28,0.0
159,5.45,5.45,5.28,0.0
160,5.45,5.45,5.28,0.0
161,5.45,5.45,5.28,0.0
162,5.45,5.45,5.28,0.0
163,5.45,5.45,5.28,0.0
164,5.45,5.45,5.28,0.0
165,5.45,5.45,5.28,0.0
166,5.45,5.45,5.28,0.0
167,5.45,5.45,5.28,0.0
168,5.45,5.45,5.28,0.0
169,5.45,5.45,5.28,0.0
170,5.45,5.45,5.28,0.0
171,5.45,5.45,5.28,0.0
172,5.45,5.45,5.28,0.0
173,5.45,5.45,5.28,0.0
174,5.45,5.45,5.28,0.0
175,5.45,5.45,5.28,0.0
176,5.45,5.45,5.28,0.0
177,5.45,5.45,5.28,0.0
178,5.45,5.45,5.28,0.0
179,5.45,5.45,5.28,0.0
180,5.45,5.45,5.28,0.0
181,5.45,5.45,5.28,0.0
182,5.45,5.45,5.28,0.0
183,5.45,5.45,5.28,0.0
184,5.45,5.45,5.28,0.0
185,5.45,5.45,5.28,0.0
186,5.45,5.45,5.28,0.0
187,5.45,5.45,5.28,0.0
188,5.45,5.45,5.28,0.0
189,5.45,5.45,5.28,0.0
190,5.45,5.45,5.28,0.0
191,5.45,5.45,5.28,0.0
192,5.45,5.45,5.28,0.0
193,5.45,5.45,5.28,0.0
194,5.45,5.45,5.28,0.0
195,5.45,5.45,5.28,0.0
196,5.45,5.45,5.28,0.0
197,5.45,5.45,5.28,0.0
198,5.45,5.45,5.28,0.0
199,5.45,5.45,5.28,0.0
200,5.45,5.45,5.28,0.0
201,5.45,5.45,5.28,0.0
202,5.45,5.45,5.28,0.0
203,5.45,5.45,5.28,0.0
204,5.45,5.45,5.28,0.0
205,5.45,5.45,5.28,0.0
206,5.45,5.45,5.28,0.0
207,5.45,5.45,5.28,0.0
208,5.45,5.45,5.28,0.0
209,5.45,5.45,5.28,0.0
210,5.45,5.45,5.28,0.0
211,5.45,5.45,5.28,0.0
212,5.45,5.45,5.28,0.0
213,5.45,5.45,5.28,0.0
214,5.45,5.45,5.28,0.0
215,5.45,5.45,5.28,0.0
216,5.45,5.45,5.28,0.0
217,5.45,5.45,5.28,0.0
218,5.45,5.45,5.28,0.0
219,5.45,5.45,5.28,0.0
220,5.45,5.45,5.28,0.0
221,5.45,5.45,5.28,0.0
222,5.45,5.45,5.28,0.0
223,5.45,5.45,5.28,0.0
224,5.45,5.45,5.28,0.0
225,5.45,5.45,5.28,0.0
226,5.45,5.45,5.28,0.0
227,5.45,5.45,5.28,0.0
228,5.45,5.45,5.28,0.0
229,5.45,5.45,5.28,0.0
230,5.45,5.45,5.28,0.0
231,5.45,5.45,5.28,0.0
232,5.45,5.45,5.28,0.0
233,5.45,5.45,5.28,0.0
234,5.45,5.45,5.28,0.0
235,5.45,5.45,5.28,0.0
236,5.45,5.45,5.28,0.0
237,5.45,5.45,5.28,0.0
238,5.45,5.45,5.28,0.0
239,5.45,5.45,5.28,0.0
240,5.45,5.45,5.28,0.0
241,5.45,5.45,5.28,0.0
242,5.45,5.45,5.28,0.0
243,5.45,5.45,5.28,0.0
244,5.45,5.45,5.28,0.0
245,5.45,5.45,5.28,0.0
246,5.45,5.45,5.28,0.0
247,5.45,5.45,5.28,0.0
248,5.45,5.45,5.28,0.0
249,5.45,5.45,5.28,0.0
250,5.45,5.45,5.28,0.0
251,5.45,5.45,5.28,0.0
252,5.45,5.45,5.28,0.0
253,5.45,5.45,5.28,0.0
254,5.45,5.45,5.28,0.0
255,5.45,5.45,5.28,0.0
256,5.45,5.45,5.28,0.0
257,5.45,5.45,5.28,0.0
258,5.45,5.45,5.28,0.0
259,5.45,5.45,5.28,0.0
260,5.45,5.45,5.28,0.0
261,5.45,5.45,5.28,0.0
262,5.45,5.45,5.28,0.0
263,5.45,5.45,5.28,0.0
264,5.45,5.45,5.28,0.0
265,5.45,5.45,5.28,0.0
266,5.45,5.45,5.28,0.0
267,5.45,5.45,5.28,0.0
268,5.45,5.45,5.28,0.0
269,5.45,5.45,5.28,0.0
270,5.45,5.45,5.28,0.0
271,5.45,5.45,5.28,0.0
272,5.45,5.45,5.28,0.0
273,5.45,5.45,5.28,0.0
274,5.45,5.45,5.28,0.0
275,5.45,5.45,5.28,0.0
276,5.45,5.45,5.28,0.0
277,5.45,5.45,5.28,0.0
278,5.45,5.45,5.28,0.0
279,5.45,5.45,5.28,0.0
280,5.45,5.45,5.28,0.0
281,5.45,5.45,5.28,0.0
282,5.45,5.45,5.28,0.0
283,5.45,5.45,5.28,0.0
284,5.45,5.45,5.28,0.0
285,5.45,5.45,5.28,0.0
286,5.45,5.45,5.28,0.0
287,5.45,5.45,5.28,0.0
288,5.45,5.45,5.28,0.0
289,5.45,5.45,5.28,0.0
290,5.45,5.45,5.28,0.0
291,5.45,5.45,5.28,0.0
292,5.45,5.45,5.28,0.0
293,5.45,5.45,5.28,0.0
294,5.45,5.45,5.28,0.0
295,5.45,5.45,5.28,0.0
296,5.45,5.45,5.28,0.0
297,5.45,5.45,5.28,0.0
298,5.45,5.45,5.28,0.0
299,5.45,5.45,5.28,0.0
300,5.45,5.45,5.28,0.0
301,5.45,5.45,5.28,0.0
302,5.45,5.45,5.28,0.0
303,5.45,5.45,5.28,0.0
304,5.45,5.45,5.28,0.0
305,5.45,5.45,5.28,0.0
306,5.45,5.45,5.28,0.0
307,5.45,5.45,5.28,0.0
308,5.45,5.45,5.28,0.0
309,5.45,5.45,5.28,0.0
310,5.45,5.45,5.28,0.0
311,5.45,5.45,5.28,0.0
312,5.45,5.45,5.28,0.0
313,5.45,5.45,5.28,0.0
314,5.45,5.45,5.28,0.0
315,5.45,5.45,5.28,0.0
316,5.45,5.45,5.28,0.0
317,5.45,5.45,5.28,0.0
318,5.45,5.45,5.28,0.0
319,5.45,5.45,5.28,0.0
320,5.45,5.45,5.28,0.0
321,5.45,5.45,5.28,0.0
322,5.45,5.45,5.28,0.0
323,5.45,5.45,5.28,0.0
324,5.45,5.45,5.28,0.0
325,5.45,5.45,5.28,0.0
326,5.45,5.45,5.28,0.0
327,5.45,5.45,5.28,0.0
328,5.45,5.45,5.28,0.0
329,5.45,5.45,5.28,0.0
330,5.45,5.45,5.28,0.0
331,5.45,5.45,5.28,0.0
332,5.45,5.45,5.28,0.0
333,5.45,5.45,5.28,0.0
334,5.45,5.45,5.28,0.0
335,5.45,5.45,5.28,0.0
336,5.45,5.45,5.28,0.0
337,5.45,5.45,5.28,0.0
338,5.45,5.45,5.28,0.0
339,5.45,5.45,5.28,0.0
340,5.45,5.45,5.28,0.0
341,5.45,5.45,5.28,0.0
342,5.45,5.45,5.28,0.0
343,5.45,5.45,5.28,0.0
344,5.45,5.45,5.28,0.0
345,5.45,5.45,5.28,0.0
346,5.45,5.45,5.28,0.0
347,5.45,5.45,5.28,0.0
348,5.45,5.45,5.28,0.0
349,5.45,5.45,5.28,0.0
350,5.45,5.45,5.28,0.0
351,5.45,5.45,5.28,0.0
352,5.45,5.45,5.28,0.0
353,5.45,5.45,5.28,0.0
354,5.45,5.45,5.28,0.0
355,5.45,5.45,5.28,0.0
356,5.45,5.45,5.28,0.0
357,5.45,5.45,5.28,0.0
358,5.45,5.45,5.28,0.0
359,5.45,5.45,5.28,0.0
360,5.45,5.45,5.28,0.0
361,5.45,5.45,5.28,0.0
362,5.45,5.45,5.28,0.0
363,5.45,5.45,5.28,0.0
364,5.45,5.45,5.28,0.0
365,5.45,5.45,5.28,0.0
366,5.45,5.45,5.28,0.0
367,5.45,5.45,5.28,0.0
368,5.45,5.45,5.28,0.0
369,5.45,5.45,5.28,0.0
370,5.45,5.45,5.28,0.0
371,5.45,5.45,5.28,0.0
372,5.45,5.45,5.28,0.0
373,5.45,5.45,5.28,0.0
374,5.45,5.45,5.28,0.0
375,5.45,5.45,5.28,0.0
376,5.45,5.45,5.28,0.0
377,5.45,5.45,5.28,0.0
378,5.45,5.45,5.28,0.0
379,5.45,5.45,5.28,0.0
380,5.45,5.45,5.28,0.0
381,5.45,5.45,5.28,0.0
382,5.45,5.45,5.28,0.0
383,5.45,5.45,5.28,0.0
384,5.45,5.45,5.28,0.0
385,5.45,5.45,5.28,0.0
386,5.45,5.45,5.28,0.0
387,5.45,5.45,5.28,0.0
388,5.45,5.45,5.28,0.0
389,5.45,5.45,5.28,0.0
390,5.45,5.45,5.28,0.0
391,5.45,5.45,5.28,0.0
392,5.45,5.45,5.28,0.0
393,5.45,5.45,5.28,0.0
394,5.45,5.45,5.28,0.0
395,5.45,5.45,5.28,0.0
396,5.45,5.45,5.28,0.0
397,5.45,5.45,5.28,0.0
398,5.45,5.45,5.28,0.0
399,5.45,5.45,5.28,0.0
400,5.45,5.45,5.28,0.0
401,5.45,5.45,5.28,0.0
402,5.45,5.45,5.28,0.0
403,5.45,5.45,5.28,0.0
404,5.45,5.45,5.28,0.0
405,5.45,5.45,5.28,0.0
406,5.45,5.45,5.28,0.0
407,5.45,5.45,5.28,0.0
408,5.45,5.45,5.28,0.0
409,5.45,5.45,5.28,0.0
410,5.45,5.45,5.28,0.0
411,5.45,5.45,5.28,0.0
412,5.45,5.45,5.28,0.0
413,5.45,5.45,5.28,0.0
414,5.45,5.45,5.28,0.0
415,5.45,5.45,5.28,0.0
416,5.45,5.45,5.28,0.0
417,5.45,5.45,5.28,0.0
418,5.45,5.45,5.28,0.0
419,5.45,5.45,5.28,0.0
420,5.45,5.45,5.28,0.0
421,5.45,5.45,5.28,0.0
422,5.45,5.45,5.28,0.0
423,5.45,5.45,5.28,0.0
424,5.45,5.45,5.28,0.0
425,5.45,5.45,5.28,0.0
426,5.45,5.45,5.28,0.0
427,5.45,5.45,5.28,0.0
428,5.45,5.45,5.28,0.0
429,5.45,5.45,5.28,0.0
430,5.45,5.45,5.28,0.0
431,5.45,5.45,5.28,0.0
432,5.45,5.45,5.28,0.0
433,5.45,5.45,5.28,0.0
434,5.45,5.45,5.28,0.0
435,5.45,5.45,5.28,0.0
436,5.45,5.45,5.28,0.0
437,5.45,5.45,5.28,0.0
438,5.45,5.45,5.28,0.0
439,5.45,5.45,5.28,0.0
440,5.45,5.45,5.28,0.0
441,5.45,5.45,5.28,0.0
442,5.45,5.45,5.28,0.0
443,5.45,5.45,5.28,0.0
444,5.45,5.45,5.28,0.0
445,5.45,5.45,5.28,0.0
446,5.45,5.45,5.28,0.0
447,5.45,5.45,5.28,0.0
448,5.45,5.45,5.28,0.0
449,5.45,5.45,5.28,0.0
450,5.45,5.45,5.28,0.0
451,5.45,5.45,5.28,0.0
452,5.45,5.45,5.28,0.0
453,5.45,5.45,5.28,0.0
454,5.45,5.45,5.28,0.0
455,5.45,5.45,5.28,0.0
456,5.45,5.45,5.28,0.0
457,5.45,5.45,5.28,0.0
458,5.45,5.45,5.28,0.0
459,5.45,5.45,5.28,0.0
460,5.45,5.45,5.28,0.0
461,5.45,5.45,5.28,0.0
462,5.45,5.45,5.28,0.0
463,5.45,5.45,5.28,0.0
464,5.45,5.45,5.28,0.0
465,5.45,5.45,5.28,0.0
466,5.45,5.45,5.28,0.0
467,5.45,5.45,5.28,0.0
468,5.45,5.45,5.28,0.0
469,5.45,5.45,5.28,0.0
470,5.45,5.45,5.28,0.0
471,5.45,5.45,5.28,0.0
472,5.45,5.45,5.28,0.0
473,5.45,5.45,5.28,0.0
474,5.45,5.45,5.28,0.0
475,5.45,5.45,5.28,0.0
476,5.45,5.45,5.28,0.0
477,5.45,5.45,5.28,0.0
478,5.45,5.45,5.28,0.0
479,5.45,5.45,5.28,0.0
480,5.45,5.45,5.28,0.0
481,5.45,5.45,5.28,0.0
482,5.45,5.45,5.28,0.0
483,5.45,5.45,5.28,0.0
484,5.45,5.45,5.28,0.0
485,5.45,5.45,5.28,0.0
486,5.45,5.45,5.28,0.0
487,5.45,5.45,5.28,0.0
488,5.45,5.45,5.28,0.0
489,5.45,5.45,5.28,0.0
490,5.45,5.45,5.28,0.0
491,5.45,5.45,5.28,0.0
492,5.45,5.45,5.28,0.0
493,5.45,5.45,5.28,0.0
494,5.45,5.45,5.28,0.0
495,5.45,5.45,5.28,0.0
496,5.45,5.45,5.28,0.0
497,5.45,5.45,5.28,0.0
498,5.45,5.45,5.28,0.0
499,5.45,5.45,5.28,0.0
500,5.45,5.45,5.28,0.0
501,5.45,5.45,5.28,0.0
502,5.45,5.45,5.28,0.0
503,5.45,5.45,5.28,0.0
504,5.45,5.45,5.28,0.0
505,5.45,5.45,5.28,0.0
506,5.45,5.45,5.28,0.0
507,5.45,5.45,5.28,0.0
508,5.45,5.45,5.28,0.0
509,5.45,5.45,5.28,0.0
510,5.45,5.45,5.28,0.0
511,5.45,5.45,5.28,0.0
512,5.45,5.45,5.28,0.0
513,5.45,5.45,5.28,0.0
514,5.45,5.45,5.28,0.0
515,5.45,5.45,5.28,0.0
516,5.45,5.45,5.28,0.0
517,5.45,5.45,5.28,0.0
518,5.45,5.45,5.28,0.0
519,5.45,5.45,5.28,0.0
520,5.45,5.45,5.28,0.0
521,5.45,5.45,5.28,0.0
522,5.45,5.45,5.28,0.0
523,5.45,5.45,5.28,0.0
524,5.45,5.45,5.28,0.0
525,5.45,5.45,5.28,0.0
526,5.45,5.45,5.28,0.0
527,5.45,5.45,5.28,0.0
528,5.45,5.45,5.28,0.0
529,5.45,5.45,5.28,0.0
530,5.45,5.45,5.28,0.0
531,5.45,5.45,5.28,0.0
532,5.45,5.45,5.28,0.0
533,5.45,5.45,5.28,0.0
534,5.45,5.45,5.28,0.0
535,5.45,5.45,5.28,0.0
536,5.45,5.45,5.28,0.0
537,5.45,5.45,5.28,0.0
538,5.45,5.45,5.28,0.0
539,5.45,5.45,5.28,0.0
540,5.45,5.45,5.28,0.0
541,5.45,5.45,5.28,0.0
542,5.45,5.45,5.28,0.0
543,5.45,5.45,5.28,0.0
544,5.45,5.45,5.28,0.0
545,5.45,5.45,5.28,0.0
546,5.45,5.45,5.28,0.0
547,5.45,5.45,5.28,0.0
548,5.45,5.45,5.28,0.0
549,5.45,5.45,5.28,0.0
550,5.45,5.45,5.28,0.0
551,5.45,5.45,5.28,0.0
552,5.45,5.45,5.28,0.0
553,5.45,5.45,5.28,0.0
554,5.45,5.45,5.28,0.0
555,5.45,5.45,5.28,0.0
556,5.45,5.45,5.28,0.0
557,5.45,5.45,5.28,0.0
558,5.45,5.45,5.28,0.0
559,5.45,5.45,5.28,0.0
560,5.45,5.45,5.28,0.0
561,5.45,5.45,5.28,0.0
562,5.45,5.45,5.28,0.0
563,5.45,5.45,5.28,0.0
564,5.45,5.45,5.28,0.0
565,5.45,5.45,5.28,0.0
566,5.45,5.45,5.28,0.0
567,5.45,5.45,5.28,0.0
568,5.45,5.45,5.28,0.0
569,5.45,5.45,5.28,0.0
570,5.45,5.45,5.28,0.0
571,5.45,5.45,5.28,0.0
572,5.45,5.45,5.28,0.0
573,5.45,5.45,5.28,0.0
574,5.45,5.45,5.28,0.0
575,5.45,5.45,5.28,0.0
576,5.45,5.45,5.28,0.0
577,5.45,5.45,5.28,0.0
578,5.45,5.45,5.28,0.0
579,5.45,5.45,5.28,0.0
580,5.45,5.45,5.28,0.0
581,5.45,5.45,5.28,0.0
582,5.45,5.45,5.28,0.0
583,5.45,5.45,5.28,0.0
584,5.45,5.45,5.28,0.0
585,5.45,5.45,5.28,0.0
586,5.45,5.45,5.28,0.0
587,5.45,5.45,5.28,0.0
588,5.45,5.45,5.28,0.0
589,5.45,5.45,5.28,0.0
590,5.45,5.45,5.28,0.0
591,5.45,5.45,5.28,0.0
592,5.45,5.45,5.28,0.0
593,5.45,5.45,5.28,0.0
594,5.45,5.45,5.28,0.0
595,5.45,5.45,5.28,0.0
596,5.45,5.45,5.28,0.0
597,5.45,5.45,5.28,0.0
598,5.45,5.45,5.28,0.0
599,5.45,5.45,5.28,0.0
600,5.45,5.45,5.28,0.0
601,5.45,5.45,5.28,0.0
602,5.45,5.45,5.28,0.0
603,5.45,5.45,5.28,0.0
604,5.45,5.45,5.28,0.0
605,5.45,5.45,5.28,0.0
606,5.45,5.45,5.28,0.0
607,5.45,5.45,5.28,0.0
608,5.45,5.45,5.28,0.0
609,5.45,5.45,5.28,0.0
610,5.45,5.45,5.28,0.0
611,5.45,5.45,5.28,0.0
612,5.45,5.45,5.28,0.0
613,5.45,5.45,5.28,0.0
614,5.45,5.45,5.28,0.0
615,5.45,5.45,5.28,0.0
616,5.45,5.45,5.28,0.0
617,5.45,5.45,5.28,0.0
618,5.45,5.45,5.28,0.0
619,5.45,5.45,5.28,0.0
620,5.45,5.45,5.28,0.0
621,5.45,5.45,5.28,0.0
622,5.45,5.45,5.28,0.0
623,5.45,5.45,5.28,0.0
624,5.45,5.45,5.28,0.0
625,5.45,5.45,5.28,0.0
626,5.45,5.45,5.28,0.0
627,5.45,5.45,5.28,0.0
628,5.45,5.45,5.28,0.0
629,5.45,5.45,5.28,0.0
630,5.45,5.45,5.28,0.0
631,5.45,5.45,5.28,0.0
632,5.45,5.45,5.28,0.0
633,5.45,5.45,5.28,0.0
634,5.45,5.45,5.28,0.0
635,5.45,5.45,5.28,0.0
636,5.45,5.45,5.28,0.0
637,5.45,5.45,5.28,0.0
638,5.45,5.45,5.28,0.0
639,5.45,5.45,5.28,0.0
640,5.45,5.45,5.28,0.0
641,5.45,5.45,5.28,0.0
642,5.45,5.45,5.28,0.0
643,5.45,5.45,5.28,0.0
644,5.45,5.45,5.28,0.0
645,5.45,5.45,5.28,0.0
646,5.45,5.45,5.28,0.0
647,5.45,5.45,5.28,0.0
648,5.45,5.45,5.28,0.0
649,5.45,5.45,5.28,0.0
650,5.45,5.45,5.28,0.0
651,5.45,5.45,5.28,0.0
652,5.45,5.45,5.28,0.0
653,5.45,5.45,5.28,0.0
654,5.45,5.45,5.28,0.0
655,5.45,5.45,5.28,0.0
656,5.45,5.45,5.28,0.0
657,5.45,5.45,5.28,0.0
658,5.45,5.45,5.28,0.0
659,5.45,5.45,5.28,0.0
660,5.45,5.45,5.28,0.0
661,5.45,5.45,5.28,0.0
662,5.45,5.45,5.28,0.0
663,5.45,5.45,5.28,0.0
664,5.45,5.45,5.28,0.0
665,5.45,5.45,5.28,0.0
666,5.45,5.45,5.28,0.0
667,5.45,5.45,5.28,0.0
668,5.45,5.45,5.28,0.0
669,5.45,5.45,5.28,0.0
670,5.45,5.45,5.28,0.0
671,5.45,5.45,5.28,0.0
672,5.45,5.45,5.28,0.0
673,5.45,5.45,5.28,0.0
674,5.45,5.45,5.28,0.0
675,5.45,5.45,5.28,0.0
676,5.45,5.45,5.28,0.0
677,5.45,5.45,5.28,0.0
678,5.45,5.45,5.28,0.0
679,5.45,5.45,5.28,0.0
680,5.45,5.45,5.28,0.0
681,5.45,5.45,5.28,0.0
682,5.45,5.45,5.28,0.0
683,5.45,5.45,5.28,0.0
684,5.45,5.45,5.28,0.0
685,5.45,5.45,5.28,0.0
686,5.45,5.45,5.28,0.0
687,5.45,5.45,5.28,0.0
688,5.45,5.45,5.28,0.0
689,5.45,5.45,5.28,0.0
690,5.45,5.45,5.28,0.0
691,5.45,5.45,5.28,0.0
692,5.45,5.45,5.28,0.0
693,5.45,5.45,5.28,0.0
694,5.45,5.45,5.28,0.0
695,5.45,5.45,5.28,0.0
696,5.45,5.45,5.28,0.0
697,4.09,4.09,3.98,0.0
698,4.09,4.09,3.98,0.0
699,4.09,4.09,3.98,0.0
700,4.09,4.09,3.98,0.0
701,4.09,4.09,3.98,0.0
702,4.09,4.09,3.98,0.0
703,4.09,4.09,3.98,0.0
704,4.09,4.09,3.98,0.0
705,4.09,4.09,3.98,0.0
706,4.09,4.09,3.98,0.0
707,4.09,4.09,3.98,0.0
708,4.09,4.09,3.98,0.0
709,4.09,4.09,3.98,0.0
710,4.09,4.09,3.98,0.0
711,4.09,4.09,3.98,0.0
712,4.09,4.09,3.98,0.0
713,4.09,4.09,3.98,0.0
714,4.09,4.09,3.98,0.0
715,4.09,4.09,3.98,0.0
716,4.09,4.09,3.98,0.0
717,4.09,4.09,3.98,0.0
718,4.09,4.09,3.98,0.0
719,4.09,4.09,3.98,0.0
720,4.09,4.09,3.98,0.0
721,4.09,4.09,3.98,0.0
722,4.09,4.09,3.98,0.0
723,4.09,4.09,3.98,0.0
724,4.09,4.09,3.98,0.0
725,4.09,4.09,3.98,0.0
726,4.09,4.09,3.98,0.0
727,4.09,4.09,3.98,0.0
728,4.09,4.09,3.98,0.0
729,4.09,4.09,3.98,0.0
730,4.09,4.09,3.98,0.0
731,4.09,4.09,3.98,0.0
732,4.09,4.09,3.98,0.0
733,4.09,4.09,3.98,0.0
734,4.09,4.09,3.98,0.0
735,4.09,4.09,3.98,0.0
736,4.09,4.09,3.98,0.0
737,4.09,4.09,3.98,0.0
738,4.09,4.09,3.98,0.0
739,4.09,4.09,3.98,0.0
740,4.09,4.09,3.98,0.0
741,4.09,4.09,3.98,0.0
742,4.09,4.09,3.98,0.0
743,4.09,4.09,3.98,0.0
744,4.09,4.09,3.98,0.0
745,4.09,4.09,3.98,0.0
746,4.09,4.09,3.98,0.0
747,4.09,4.09,3.98,0.0
748,4.09,4.09,3.98,0.0
749,4.09,4.09,3.98,0.0
750,4.09,4.09,3.98,0.0
751,4.09,4.09,3.98,0.0
752,4.09,4.09,3.98,0.0
753,4.09,4.09,3.98,0.0
754,4.09,4.09,3.98,0.0
755,4.09,4.09,3.98,0.0
756,4.09,4.09,3.98,0.0
757,4.09,4.09,3.98,0.0
758,4.09,4.09,3.98,0.0
759,4.09,4.09,3.98,0.0
760,4.09,4.09,3.98,0.0
761,4.09,4.09,3.98,0.0
762,4.09,4.09,3.98,0.0
763,4.09,4.09,3.98,0.0
764,4.09,4.09,3.98,0.0
765,4.09,4.09,3.98,0.0
766,4.09,4.09,3.98,0.0
767,4.09,4.09,3.98,0.0
768,4.09,4.09,3.98,0.0
769,4.09,4.09,3.98,0.0
770,4.09,4.09,3.98,0.0
771,4.09,4.09,3.98,0.0
772,4.09,4.09,3.98,0.0
773,4.09,4.09,3.98,0.0
